Endereco,PrecoApto,PrecoCond,PrecoIPTU,NumQuartos,NumBanheiros,NumVagas,Area,URL
Condomínio ELLISSE ,Rua dos Vianas| 411 - Baeta Neves| São Bernardo do Campo - SP,R$ 485.000,R$ 480,R$ 1,3,3,2,104,https://www.vivareal.com.br/imovel/apartamento-3-quartos-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-104m2-venda-RS485000-id-77751198/
Condomínio SAN MARCO ,Avenida Moinho Fabrini| 592 - Independência| São Bernardo do Campo - SP,R$ 240.000,R$ 250,R$ 82,2,2,1,60,https://www.vivareal.com.br/imovel/apartamento-2-quartos-independencia-bairros-sao-bernardo-do-campo-com-garagem-60m2-venda-RS240000-id-88581565/
Condomínio Parque Residencial Tiradentes ,Rua Tiradentes| 1837 - Santa Terezinha| São Bernardo do Campo - SP,R$ 190.000,R$ 380,R$ 50,2,1,1,56,https://www.vivareal.com.br/imovel/apartamento-2-quartos-santa-terezinha-bairros-sao-bernardo-do-campo-com-garagem-56m2-venda-RS190000-id-86415388/
 ,Taboão| São Bernardo do Campo - SP,R$ 250.000,R$ 300,R$ 72,2,1,1,50,https://www.vivareal.com.br/imovel/apartamento-2-quartos-taboao-bairros-sao-bernardo-do-campo-com-garagem-50m2-venda-RS250000-id-89640179/
Condomínio ANIMA ,Rua Braga| 202 - Vila Lusitania| São Bernardo do Campo - SP,R$ 580.000,R$ 600,R$ 235,3,2,2,107,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-lusitania-bairros-sao-bernardo-do-campo-com-garagem-107m2-venda-RS580000-id-86651200/
Condomínio EXUBERANCE ,Rudge Ramos| São Bernardo do Campo - SP,R$ 398.000,R$ 512,R$ 82,3,1,1,70,https://www.vivareal.com.br/imovel/apartamento-3-quartos-rudge-ramos-bairros-sao-bernardo-do-campo-com-garagem-70m2-venda-RS398000-id-87456377/
Condomínio Caledônia ,Avenida Getúlio Vargas - Baeta Neves| São Bernardo do Campo - SP,R$ 378.000,R$ 700,R$ 85,3,2,2,75,https://www.vivareal.com.br/imovel/apartamento-3-quartos-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-75m2-venda-RS378000-id-89894430/
Condomínio GRAND CLUB ,Rua Papa Paulo VI| 151 - Santa Terezinha| São Bernardo do Campo - SP,R$ 265.000,R$ 250,R$ 600,2,1,1,47,https://www.vivareal.com.br/imovel/apartamento-2-quartos-santa-terezinha-bairros-sao-bernardo-do-campo-com-garagem-47m2-venda-RS265000-id-85200036/
 ,Rua Comendador Carlo Mário Gardano - Centro| São Bernardo do Campo - SP,R$ 310.000, , ,3,2,1,71,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-71m2-venda-RS310000-id-86699089/
 ,Avenida Capitão Casa| 1691 - Dos Casa| São Bernardo do Campo - SP,R$ 275.000,R$ 300, ,2,1,1,49,https://www.vivareal.com.br/imovel/apartamento-2-quartos-dos-casa-bairros-sao-bernardo-do-campo-com-garagem-49m2-venda-RS275000-id-89879369/
Condomínio DOMO LIFE ,Avenida Aldino Pinotti| 500 - Centro| São Bernardo do Campo - SP,R$ 1.370.000,R$ 1.400,R$ 4.800,4,5,3,180,https://www.vivareal.com.br/imovel/apartamento-4-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-180m2-venda-RS1370000-id-88252758/
Condomínio HELBOR TRILOGY OFFICE E STAY ,Avenida Aldino Pinotti| 650 - Centro| São Bernardo do Campo - SP,R$ 478.000,R$ 450, ,3,3,2,94,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-94m2-venda-RS478000-id-89888275/
Condomínio RESIDENCIAL TROPICAL ,Praça Antônio Pinheiro Costa - Vila Gonçalves| São Bernardo do Campo - SP,R$ 236.000,R$ 300, ,2,1,1,48,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-goncalves-bairros-sao-bernardo-do-campo-com-garagem-48m2-venda-RS236000-id-88716040/
Condomínio HELBOR MOVEMENT CITY E LIFE ,Avenida Armando Ítalo Setti| 659 - Baeta Neves| São Bernardo do Campo - SP,R$ 680.000,R$ 550,R$ 2.400,3,5,2,116,https://www.vivareal.com.br/imovel/apartamento-3-quartos-baeta-neves-bairros-sao-bernardo-do-campo-com-garagem-116m2-venda-RS680000-id-88271641/
 ,Demarchi| São Bernardo do Campo - SP,R$ 189.900,R$ 240,R$ 50,2,1,1,45,https://www.vivareal.com.br/imovel/apartamento-2-quartos-demarchi-bairros-sao-bernardo-do-campo-com-garagem-45m2-venda-RS189900-id-83133530/
Condomínio Bristol ,Rua Domiciano Rossi| 340 - Centro| São Bernardo do Campo - SP,R$ 460.000,R$ 530, ,3,3,1,127,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-sao-bernardo-do-campo-com-garagem-127m2-venda-RS460000-id-89896376/
Condomínio ANIMA ,Rua Braga| 202 - Vila Lusitania| São Bernardo do Campo - SP,R$ 680.000,R$ 600,R$ 235,2,2,2,107,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-lusitania-bairros-sao-bernardo-do-campo-com-garagem-107m2-venda-RS680000-id-86656832/
 ,Avenida Lauro Gomes| 111 - Rudge Ramos| São Bernardo do Campo - SP,R$ 304.500,R$ 300,R$ 120,2,2,1,71,https://www.vivareal.com.br/imovel/apartamento-2-quartos-rudge-ramos-bairros-sao-bernardo-do-campo-com-garagem-71m2-venda-RS304500-id-89885168/
 ,Rua Gabriel D'Anunzio| 200 - Rudge Ramos| São Bernardo do Campo - SP,R$ 650.000,R$ 780,R$ 140,3,3,2,104,https://www.vivareal.com.br/imovel/apartamento-3-quartos-rudge-ramos-bairros-sao-bernardo-do-campo-com-garagem-104m2-venda-RS650000-id-85861506/
Condomínio EXUBERANCE ,Avenida Winston Churchill| 1477 - Rudge Ramos| São Bernardo do Campo - SP,R$ 408.000,R$ 512,R$ 1.032,3,2,1,70,https://www.vivareal.com.br/imovel/apartamento-3-quartos-rudge-ramos-bairros-sao-bernardo-do-campo-com-garagem-70m2-venda-RS408000-id-86705355/
Condomínio Condomínio Geneve ,Rua Genebra| 50 - Suisso| São Bernardo do Campo - SP,R$ 253.000,R$ 431,R$ 956,3,2,2,65,https://www.vivareal.com.br/imovel/apartamento-3-quartos-suisso-bairros-sao-bernardo-do-campo-com-garagem-65m2-venda-RS253000-id-78135910/
